id,name,price,price_mayorista,category,description,image
"17786941424974xpr","Auricular Gamer Raptor Inferno",65000,0,"Auriculares","Importado masivamente","assets/products/prod_17786941424974xpr.jpg"
"Aur43554","Auricular Gamer Raptor Inferno Wireless",95000,0,"Auriculares","","assets/products/prod_1787772645219.webp"
"1778691172080fuvg","Auricular Genius G600V",59000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172080fuvg.jpg"
"1778696348239anx1","Auricular Iphone airpods Max",59000,0,"Auriculares","Importado masivamente","assets/products/prod_1778696348239anx1.jpg"
"17786911720800gd0","Auricular JBL Tune 110",22500,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720800gd0.jpg"
"1778695226610veqm","Auricular Marshall Bluetooth In Ear",35000,0,"Auriculares","Importado masivamente","assets/products/prod_1778695226610veqm.jpg"
"17786952266114286","Auricular Marshall Bluetooth Vincha",45000,0,"Auriculares","Importado masivamente","assets/products/prod_17786952266114286.jpg"
"17786911720811s4d","Auricular Motorola In Ear Blister Azul",13500,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720811s4d.jpg"
"17792824110370ar5","Auricular Motorola Tipo C",9500,0,"Accesorios","","assets/products/prod_17792824110370ar5.jpg"
"1778691172081evqq","Auricular Motorola XT200",60500,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172081evqq.jpg"
"Aur1235","Auricular Open Ear Bluetooth",25000,0,"Auriculares","","assets/products/prod_1781730956842.jpg"
"1778695226612filp","Auricular P9 - P9 pro max",15000,0,"Auriculares","Importado masivamente","assets/products/prod_1778695226612filp.jpg"
"17786911720816sw0","Auricular Philips 1405",14500,0,"Auriculares","Importado masivamente","assets/products/prod_17786911720816sw0.jpg"
"AUR45","Auricular Pro Air Max 3",35000,0,"Auriculares","","assets/products/prod_1784576354132.jpg"
"1778691172082ew1t","Auricular Samsung Buds",39000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172082ew1t.jpg"
"1778691172082tlbe","Auricular Samsung Manos Libres HS330",4000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172082tlbe.jpg"
"1778691172083n4vz","Auricular Samsung S10 AKG / Sport Pace",7000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172083n4vz.jpg"
"1778691172083jq8a","Auricular Samsung S8",4000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691172083jq8a.jpg"
"177869117208489au","Auricular Samsung Tipo C",7500,0,"Auriculares","Importado masivamente","assets/products/prod_177869117208489au.jpg"
"fsdrtwe","Auricular Sport Pro Air",19000,0,"Auriculares","","assets/products/prod_1781099826926.jpg"
"1779282305251epmr","Auricular Sport Wireless",20000,0,"Auriculares","","assets/products/prod_1779282305251epmr.jpg"
"1778690911982z56u","Auricular Under Armour",9000,0,"Auriculares","Importado masivamente","assets/products/prod_1778690911982z56u.jpg"
"17786952266155bn1","Auricular Xiaomi Buds Lite 4",45000,0,"Auriculares","Importado masivamente","assets/products/prod_17786952266155bn1.jpg"
"1778691087562oypx","Auricular YDMini",18000,0,"Auriculares","Importado masivamente","assets/products/prod_1778691087562oypx.jpg"
"1778690911982dp5k","Balanza Chica",9500,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911982dp5k.jpg"
"1778690911982lhh3","Balanza Equipaje",9000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911982lhh3.jpg"
"1778690911982oudi","Balanza Grande",13500,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911982oudi.jpg"
"1779284034059axr7","Barra Parlante Alchemy",28000,0,"Parlantes","","assets/products/prod_1779284034059axr7.jpg"
"17786952531438kyu","Base Cargador Gamepad Play 5",15000,0,"Cargadores","Importado masivamente","assets/products/prod_17786952531438kyu.jpg"
"17786914746650r7a","Base Cargador Play 4",12000,0,"Cargadores","Importado masivamente","assets/products/prod_17786914746650r7a.jpg"
"1778691216913q6kv","Base Cooler B-9",25000,0,"Coolers","Importado masivamente","assets/products/prod_1778691216913q6kv.jpg"
"1778693818172vbhk","Base Cooler GTC",20000,0,"Coolers","Importado masivamente","assets/products/prod_1778693818172vbhk.jpg"
"177869121691546me","Base Cooler Netmak",45000,0,"Coolers","Importado masivamente","assets/products/prod_177869121691546me.webp"
"17786909119835m2b","Baston Selfie",7500,0,"Accesorios","Importado masivamente","assets/products/prod_17786909119835m2b.jpg"
"17786909119838blf","Baston Selfie con Bluetooth",9500,0,"Accesorios","Importado masivamente","assets/products/prod_17786909119838blf.jpg"
"1778694758243h0x9","Bateria 9v Energizer",6500,0,"Pilas","Importado masivamente","assets/products/prod_1778694758243h0x9.jpg"
"1778695284471r5ov","Bateria 9v recargable",13500,0,"Pilas","Importado masivamente","assets/products/prod_1778695284471r5ov.jpg"
"177869475824159v2","Bateria Eveready 9v",4000,0,"Pilas","Importado masivamente","assets/products/prod_177869475824159v2.jpg"
"1778694758244bikg","Baterias Recargables 18650",7000,0,"Pilas","Importado masivamente","assets/products/prod_1778694758244bikg.jpg"
"1779284482891p0aa","Battery Pack Iphone",30000,0,"Fuentes","","assets/products/prod_1779284482891p0aa.jpg"
"17786909119832vi9","Bluetooth 5.0",6000,0,"Accesorios","Importado masivamente","assets/products/prod_17786909119832vi9.jpg"
"1778690911983m3tn","Bluetooth auto",6000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911983m3tn.jpg"
"1778690911983vcb8","Brazalete Celular Running",5000,0,"Accesorios","Importado masivamente","assets/products/prod_1778690911983vcb8.jpg"
"17786964244131b5j","Brazo Celular",7500,0,"Soportes","Importado masivamente","assets/products/prod_17786964244131b5j.jpg"
"1778695307397wkvm","Cabezal 5v",5500,0,"Cargadores","Importado masivamente","assets/products/prod_1778695307397wkvm.jpg"
"1778691474666a9yz","Cabezal Iphone 5V",9000,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474666a9yz.jpg"
"1778695307400bnci","Cabezal Iphone Tipo C",10000,0,"Cargadores","Importado masivamente","assets/products/prod_1778695307400bnci.jpg"
"1779809988657louu","Cabezal Kaber Encendedor",9500,0,"Cargadores","","assets/products/prod_1779809988657louu.jpg"
"1778691474667s4hh","Cabezal Motorola / Samsung 25w",7500,0,"Cargadores","Importado masivamente","assets/products/prod_1778691474667s4hh.jpg"
"17786914746676feq","Cabezal Motorola / Samsung Original 45w",9500,0,"Cargadores","Importado masivamente","assets/products/prod_17786914746676feq.jpg"
"17786912169168tcj","Cable 3 RCA 1.5Mts",3000,0,"Cables","Importado masivamente","assets/products/prod_17786912169168tcj.jpg"
